Name,Comment,Time,Likes,Reply Count
Rizki Adi Putra,Band bagus kaya gini masa viewers.y kalah sma band sebelah,2022-03-11T13:43:43Z,6,3
Yenu Wicaksono,"Kenapa pas bagian solo gitar, ga ditambahin gitar ritem nya? Kyk berasa ada yg kurang soalnya",2022-03-11T12:47:26Z,2,1
Sopyan Hadi,"Mantap makin keren aja ni
Sukses selalu vob",2022-03-11T12:36:08Z,4,0
Jajang Saefudin,gila gila tambah matang penampilan kalian..,2022-03-11T12:13:37Z,4,0
GamingDenganAbid,lumayan sih..tp belum ketemu lagu VOB yg catchy..mudah diingat..kalo musikalitas udah  bagus ..,2022-03-11T06:42:55Z,2,1
Rezky Ramdhany Senjaya,"Hijab ga main tiktok , tapi main beginian guys 👍👍",2022-03-11T06:09:26Z,1,0
zein_jlc®,"VOB ,smangat terus dgn karya Originalmu....& Teruslah Inovasi cadasmu.
Jika berkenan ,"" please Rilis Ulang cover lagu dari S,A,S rock legend Indonesia ,* dgn judul ,""SIRKUIT,"" .
SAS Juga terbangun dgn tiga person.aransement lagu ini sangat sinergi & klop antara Drums , Bas & guitar. Please get to Tray this song....
Nuhun....",2022-03-11T04:23:41Z,1,0
Pakde Siwo,"Soal sklill no coment. Tak diragukan lagi. Semoga para orangtua di sana bisa melihat apa yang dilakukan 3 gadis luar biasa ini, agar kasus kasus pelecehan sexual tak terjadi lagi. Terutama oleh mereka yang seharusnya jadi  panutan dan pelidung.",2022-03-11T04:22:45Z,6,1
Nendi Sunendi1234,Dari Vob saja kita bisa lihat bawha banyak talenta membanggakan dari anak2 negri dan masih banyak yng mungkin seperti mereka yng belum kita ketahui...gkk nyesel mantau kalian dari 2018..lanjutkan Vob sekarang tidak hanya didalam negri bahkan luar negri z kalian sudah punya fans,2022-03-11T03:17:20Z,38,1
Deny Raffy mantap. ga ada tandingannya ,"VoB emang kren beda dgn musik rock metal yg lainnya.. 
Punya ciri khas vokal Marsya yg lembut berbalut musik 🎤🎼🎹🎶 g cadas tpi rapih, apik, berirama,, so jadi lebih easy utk di dengar kan, lebih enak, ga dug dag, ga jantung kek mau copot.. Hee.. 
Dari genre juga unik, ada balutan rock n roll, fungky, alternatif nya. 
So sangat pantas VoB, akan lebih terkenal mayoritas masyarakat di luar ( dunia) di bandung di dlm negri nya sendiri.  
Ok. Bravo VoB 
Truslah berkarya dan ttp santun, humble
Jgn lupa sholat 5 waktunya
👍👍👍👍👍😘😘😘😘😘",2022-03-11T03:02:02Z,1,0
muhammad ali,teruslah berkarya dan tetap menjadi rocker sampai akhir zaman. jgn dengarkan mereka yg mempunyai pikiran homogen. tiap orang/genre punya kelebihan masing2 dlm berkarya. karna setiap orang yg terlahir k dunia itu spesial,2022-03-10T23:57:03Z,8,0
Didi Muksin,Wow...kalian mmg ok bgt...merinding ligat klip kalian...sukses selalu buat VoB...👍,2022-03-10T23:30:33Z,1,0
Syarif Hidayatulloh,Keren...baceprot,2022-03-10T23:09:04Z,2,0
Wahyu Atmo,"WOW...semakin matang penggarapan lagu-nya VOB lanjut terus, dan satu kata ""HEBAT"".",2022-03-10T23:01:37Z,2,0
Ary Kusumawijaya,"VOB asli keren dan yg paling keren saat mereka memakai baju hitam dgn jaket hitam dan hijab merah itu asli keren banget,berkat VOB semangat musik metal mulai muncul kembali txs to you Marsya,Widi and Siti VOB the best pokoknya TrUs lah terbang smpai keseluruh penjuru dunia,sukses buat VOB",2022-03-10T16:15:02Z,1,0
Razor Comb,ngeriiiiiiiiii josssss mantap,2022-03-10T16:02:15Z,1,0
Rong rong,"Terima kasih VOB udah bikin lagu yg indah, seneng bisa denger suara widi & siti lebih banyak di lagu ini, keep rockin girls  🤟",2022-03-10T15:12:18Z,14,0
abay souza,Vob semakin matang ... dua jempol buat klean semua,2022-03-10T14:46:23Z,2,0
Tom mi,"Aku udah tua, mau pensiun dari tentara, denger lagu VOB jadi ketagihan, serasa menjadi muda lagi .... gaaasss terus neng singajaya ....",2022-03-10T12:11:23Z,35,2
Klewer1960 60,Sejak  riliis lagu ini....kecanduan  teruus buka YouTube nya,2022-03-10T11:37:30Z,3,3
Asep Budi,Selalu ada kejutan dari kalian... (VOB) ada headbang...ada growl... and whats next...?? As Baladceprot we proud of you guys VOB.,2022-03-10T06:12:30Z,34,0
AβįƐ Al,Aku udah puter terus ini lagu kok gak trending2 ya ...mantap VOB gaskeun deui mudah2an trending🤘🏼🔥🇮🇩,2022-03-10T06:07:52Z,23,7
AβįƐ Al,Ayolah trendingkeun ... 🔥🔥🔥🔥,2022-03-10T10:51:03Z,0,
Iwan Prasojo,Keren lagunya,2022-03-10T02:41:47Z,2,0
Hance Meitayana,Buat artis artis hijrah.. Ngga usah deketin VOB ya.. Biarin aja mereka berkarya sampe tua..,2022-03-10T02:26:23Z,3,4
Ananta Chanel,"Kurang panjang lagunya, minimal 5 menit lah.",2022-03-09T16:58:18Z,4,7
Tommy Setyawan,"yaaah, tergantung segmen nya juga broh ... model kaya Dream Theater, Lamp Of God, Messhugah bikin lagu target marketnya yah bukan mainstream ;) eniwei, BABYMETAL juga lagu lagunya rerata di 3-4 menit ;)",2022-03-10T11:19:28Z,0,
ant hadinata,yang dinamakan music metal ya ini.... bakalan mendunia sih ini lagu....edan🤟🤟🤟🤟,2022-03-09T16:32:36Z,3,0
Yansen Patikawa,"Apapun cemoohan tentang kalian,aq tetap fansmu.
Good Luck.❤👍👍👍",2022-03-09T16:31:48Z,3,0
Mitha Anggia,"Gila setiap denger lagu VOB air mata gw pasti netes,, 
Kalian bertiga sedikit dari wanita indonesia yang terselamatkan dari goyang belut sawah🤘🤘🤘",2022-03-09T15:44:50Z,110,16
Nang Yosi,"Dah,hijrah saja,tar terkenal nyesel main musik haram woi",2022-03-11T14:16:57Z,2,
S K K,"Sebuah karya luarrrr biasaaaa dari pandangan pikiran luas tentang ketidak adilan di dunia. Lirik menusuk pemikir sempit segelintir manusia serta hentakan musik Hip Metal Funky selaras dengan alunan yang di suarakan. 🔥🔥🔥 Lantangkan idealisme positif VOB  🤟🤟🤟 Dengan bermusik. 🤟Salam untuk Abah Erza yang telah membimbing menjadi guru BP waktu sekolah di Mts 🤟
Salam Baladceprot dan Alipers 🇲🇨",2022-03-09T15:09:10Z,8,0
Taufan Saputra,VOB....alus pisan euy...teruslah berkarya...selamat dan sukses tentunya,2022-03-09T15:04:06Z,2,0
Nada Prawira,"merilis music video di hari musik Nasional
Mantap",2022-03-09T13:43:01Z,4,1
Mootiara Soreang,"pertama denger masih meraba-raba
dua kali denger langsung suka dan nagih 
keep up the good work VOB",2022-03-09T13:36:09Z,42,2
Suhud Kusmawar,Makin hari makin mantap Neng sair mantaf musiknya juga sangat keren👍👍👍,2022-03-09T13:29:03Z,6,0
eleven keys,Mantab... pokoknya harus konsisten dengan genre musik ini... Sukses terus VOB...!!!!!,2022-03-09T13:27:39Z,14,0
Firman Nurdin,Keren nihh...lebih ekspresif.  👍,2022-03-09T13:24:49Z,4,0
Riyanto,"Sungguh enak di dengar..luar biasa, terus berkreasi dan berinovasi. Tidak mudah untuk menciptakan sebuah lagu yang bisa diterima oleh semua orang 👍👍👍👍.
Mantap...",2022-03-09T13:24:31Z,40,0
Natural27,"Amazing guys.. setelah dirilis resmi sangat luar biasa hasilnya keren banget euy..👍👍🤘🤘

Ditunggu ya karya yg lain pengen bgt lagu What the holy Nobel dibuat video klipnya. Secara saat ini sedang ramai isu2 PD III gara2 Rusia vs Ukraina (STOP WAR)",2022-03-09T10:52:06Z,28,0
apoedy apoedy,Peringatan : Lagu ini Mengandung Candu...!!! Matak deudeuieun....,2022-03-09T10:39:03Z,5,0
Rudi Reinkarnasi 03,Wowwwwwwwww arasemen nnya dah beda nenggggg,2022-03-09T10:36:49Z,4,0
arif Rahman,Gasss polll !!!!! Kereeeeeeeen,2022-03-09T10:36:21Z,4,0
Buku Tahu,"waw...hajar terus VOB, semoga bisa sesukses babymetal...",2022-03-09T10:34:47Z,8,0
Zainal Suroh,Top❤️🧡💛💙💚💛🧡❤️,2022-03-09T10:34:10Z,3,0
fatiya and fara,"""Tiga wanita ajaib"" udah cuma bisa bilang gitu🇮🇩🔥🔥🔥",2022-03-09T10:23:59Z,11,0
Hasan Gunsan,fans garis keras...  🤘🥰,2022-03-09T09:34:21Z,5,0
Eko Budi Santoso,"Asik , lebih fressh yang ini meski tegang tapi masih ada space buat berdansa musiknya , wkwkwk",2022-03-09T09:18:39Z,2,0
Lilis Sutarsih,Pake hanset enak bener dengernya mantap,2022-03-09T09:18:24Z,4,0
The Laurio's,"produksinya makin keren, merinding aing anjirrrrr....",2022-03-09T09:13:53Z,3,0
Maria Athia fitri,"Apapun genre yang kalian mainkan....aku tetap suka.
Vob keren.",2022-03-09T08:55:45Z,24,0
L.Adjanggo,Fantastic🤘😎,2022-03-09T08:53:58Z,2,0
Edward P Saragih,"Mantap musik & liriknya... Sarat kritik sosial.... Terus mantapkan vokal & backing vokal nya ya kl nanti bawa lagu ini pas manggung, supaya ngga kedodoran... Banyak2 olahraga & latih pernafasan.... U r amazing... Salam dari baladceprot bogor 🤘",2022-03-09T08:27:50Z,35,0
Yadi Kita,Lagunya enak di dengar..... vob makin keren.....,2022-03-09T08:27:21Z,4,0
Artan Khan ,"VOB memang luar biasa, selalu bikin kagum melihat karya2nya,...memberikan warna musik yg berbeda,...setiap liriknya memiliki pesan & makna yg dalam,...harus diakui diusia kalian sekarang ini memang termasuk jenius & gua yakin VOB kalian bakal jdi legend musik dunia,....semoga sukses teruslah berkarya,...maju terus musik Indonesia",2022-03-09T08:25:19Z,30,2
METALHEAD for Life,"Semua lagu yg dibuat vob semuanya punya makna dan pesan, itu keren bgt sih",2022-03-12T10:05:40Z,1,
Yumna Syaif,"Musik keren dengan lirik bagus👍. Hanya, tak bisakah sebuah ""protes"" diungkapkan tanpa ""f"" words  (""sumpah serapah"")?",2022-03-09T08:23:15Z,2,4
Yumna Syaif,@Fauzi Azis kalau live kan gak bakal disensor. Saya hanya sangat menyayangkan pesan² baik disusupi kata² tak baik🙏,2022-03-09T11:12:07Z,1,
Rudy Defan,"Salut dengan karya karya nya vob, maju terus, sukses selalu dan tetap rendah hati, dan semoga tetap Istiqomah dengan hijab nya",2022-03-09T07:09:55Z,14,0
Ady Brocoli,makin matang VOB🤘🤘🤘,2022-03-09T07:09:21Z,3,0
FansVOB,"selamat untuk single barunya...😍
sukses terus buat VOB 🤲",2022-03-09T07:07:57Z,3,1
Mexvico,Aku padamulah... Dah ga bisa diungkapin... Yg terbaik buat kalian ...,2022-03-09T07:02:45Z,1,0
Jhon Wiks,Makin produktif.. Mantap.. Si siti cute bgt dahh dsini,2022-03-09T07:01:05Z,1,0
JAYA Doge69,"Kenapa karya sebagus ini view masih,,gimana yah..? Apa karena kendala bahasa atau pasar musik begini kurang peminat..tapi masih satu hari sih... 😀😀

Sukses selalu buat VOB 🤘🤘🤘🤘",2022-03-10T19:29:02Z,1,
Abdul Azis,"Lirik, gaya penyampaian pesan, Musik Padet.. Cemuanya dah.. Makin Muantaaab... Love VOB",2022-03-09T06:39:13Z,1,0
Towy Tantowy,Yang di tunggu2 datang juga....  Mantap gak ngecewain....!!!,2022-03-09T06:38:31Z,2,0
Ramdanih Brammenga,"VOB slalu memberikan karya terbaiknya dan slalu memberikan rezeki para Reaction Youtuber..
Dan kenapa band sehebat mereka subcribernya diyoutub dikit..
Ini para reaction harus bertanggung jawab...",2022-03-09T06:22:28Z,3,0
Zulfian Herwinsyah,Menyala... Perempuan Indonesia!!! Salut VoB!,2022-03-09T06:19:49Z,5,0
Fajar Raven,"Garut the best punya band metal, sukses terus VoB",2022-03-09T06:15:47Z,3,0
babehzz soes,"kalian bertiga bermain musiknya apik dan bagus bangeut , terus berkarya yah neng",2022-03-09T06:14:39Z,2,0
PMM UMM KELOMPOK 36,"Outronya gak ngira bakal gitu. Wahhh ini mah Wacken bakal headbang banget sama VoB. School Revolution, God Allow Me, Not Public Property, dan lagu lagu yg akan dicover sama VoB. Wahhhh gilaaa kereeen 🤘🤘🤘🤘",2022-03-09T06:11:24Z,30,0
Ikhwan Ekobee,VoB anak anak ajaib dr tanah Pasundan yg membanggakan bangsa Indonesia. Allah memanifestasikan keindahan musik lewat VoB. Teruslah berkarya demi kemanusiaan dan perdamaian. GODBLESS FOR YOU. KALIAN LUAR BIASA. 👍👍👍👍👍👍👍💖💖💖💟💟💗,2022-03-09T06:11:07Z,21,0
ZenTzy,"Gak cukup dengar sekali,,kepinginnya ulang terus menerus lagu vob ini,,
Semangat terus vob,,semoga makin sukses karirnya,,makin banyak dikenal masyarakat lokal maupun luar,, 
Video klipnya keren,,lagunya mantaps,,musik jgn ditanya lg sdh psti mantap,,, ^^
Sukabumi hadir",2022-03-09T06:09:35Z,32,0
Saepul Rahman,Selamat kepada kalian semoga sukses terus. Dan bisa mengharumkan daerah garut khusus nya banjarwangi dan singajaya 😊😊😊,2022-03-09T06:09:15Z,3,0
Tri Andi Prayoga,"KERENNNN.... Sukses terus Voice of Baceprot..
Selamat Hari Musik Nasional buat kalian semua (9 Maret 2022)",2022-03-09T06:09:04Z,36,1
Benhard Purba,"Jangan berhenti berkarya dengan genre musik yang kalian pilih. Salut buat kalian, tetap semangat. 
Haters Jadikan motivasi.",2022-03-09T05:57:43Z,54,0
Indrawan Eka,Top VOB musik berkelas dunia... Semoga semakin sukses kami sangat bangga dgn kalian semua....,2022-03-09T05:51:22Z,20,0
Fidran Firmansyah,"GOKILL!!!!!!!
SELALU KERENN!!!! #VOB",2022-03-09T05:51:21Z,6,0
Yasep Gaos,keren bgt lebih keren dari versi live nya.. cuma sayang ada sensor (tuutttt...) bentar lagi bakal bermunculan yg nge-reaction,2022-03-09T05:44:09Z,5,0
Klewer1960 60,Selamat hari Wanita se Dunia.,2022-03-09T05:39:09Z,2,0
Topik Hidayat,Mantap ✔🎸🎶,2022-03-09T05:38:58Z,2,0
Heru Sutomarmo,"Hebat, Alus pisan euy .
Terus ditingkatkan permainan solo gitar melodinya dan pronunciationnya.",2022-03-09T05:38:36Z,32,0
Adam Syah,BERSENI BOLEH AJA TAPI PUNYA ATURAN AGAMA MANA YG BOLEH MANA YG TIDAK,2022-03-09T05:37:27Z,0,3
Riddz278,"Lagu baru vob kali ini musiknya lebih fresh,,lebih dewasa ,,bisa dibilang mungkin  metal Modernlah dan liriknyapun sangat kuat.",2022-03-09T05:29:43Z,40,0
dwi pangga,Hebat VOB sukses terus  buat kalian,2022-03-09T05:29:32Z,3,0
Deny Raffy mantap. ga ada tandingannya ,"Kreen lagu nya ""not publik properti"" setelah di rilis, berbeda banget. Lebih berisi, padat, berwarna, nhena di hati. Sy yakin lagu 🎶🎧🎤 ini akan melambungkan nama VoB di pentas dunia,dan akan menjadi single hit legand. Si dengar Dari musik, riff, lirik sangat berkelas.. 
Sy bangga dgn VoB
Kalian dan Indonesia akan bangga juga pada kalian VoB 
Yg akan mengharumkan nama indonesia di kancah dunia lewat musik mu🎤🎼🎹🎶
Truslah berkarya
Semangat 🔛🔥
Dan bravo VoB 👍👍👍👍👍",2022-03-09T05:28:30Z,64,1
Hamid Albaiji,"Yang lama ditunggu2 akhirnya muncul juga, sukses selalu VOB",2022-03-09T05:26:46Z,10,0
Yudi Witarsa,Maju terus VOB bungkam mulut nyinyir dengan karya terbaik mu.,2022-03-09T05:26:17Z,12,0
Royan Maulana,"MANTAB..... Sukses selalu VOB, terus berkarya tetap eksis jangan pernah termakan waktu,",2022-03-09T05:23:48Z,22,0
Subarna Karta,Maju terus semangat terus salam happy mettal.,2022-03-09T05:23:30Z,1,0
Wahyu Zunaedy,"Congrats..... ""[NOT] Public Property"" Succes dan terus buatlah karya yang buat @voiceofbaceprot semakin dikenal dimana mana dengan Lirik"" Lagu Buat Inspirasi Semua Orang.",2022-03-09T05:11:54Z,62,6
Ferdian Wiguna,Yeah its official.. suka musiknya cuma suara marsya agak gimana dilagu ini.. ntah karna proses rekaman atau filter tah lah.. just my opinion.. 🙏🙏 berharap albumnya segera keluar..,2022-03-09T05:05:11Z,4,3
Irkham Sanches,"pokoknya makin-makin dari semua sisi.. 
keren bet dah..",2022-03-09T04:53:00Z,15,0
zudin karnawan,3 gadis berbahaya rasa nirvana..gokil abizzz..🤘🤟🇮🇩🇮🇩🇮🇩,2022-03-09T04:52:36Z,16,0
