Name,Comment,Time,Likes,Reply Count
Bang Koboy,Semakin liar saja lagu dan musiknya,2022-03-24T09:01:37Z,1,2
Eddy Soewarno,"SESEKALI COBALAH2 KOLAB MELODI GITAR DENGAN GITARIS KLAS DUNIA JUGA #AYUGUSFAN...  PASTI2 LUAR BIASA,  DUNIA AKAN SEMAKIN BERGETAR 👍👍👋☀👍👍",2022-03-24T05:04:37Z,2,0
Rendy Andrian,Bukti karya anak bangsa lebih enak didengar drpd lagu2 populer dr negara lain.,2022-03-24T03:49:18Z,1,0
Hati2DiYoutube,Yang ngikutin VOB dr awal pasti ngerasain makin kesini musiknya makin mateng.,2022-03-24T00:42:23Z,3,0
Tuin Zone,Gila sopan banget masuk telinga.....,2022-03-23T23:36:09Z,4,0
YT DUNIA BURUNG,Indonesia metal on fire💥,2022-03-23T21:18:05Z,3,0
Kucing Internet,KEREN!,2022-03-23T16:51:08Z,3,0
Teh Botol,Boleh juga yg ini 🤘🏻kalian dapet 1 fans baru nih kliatannya wkwk,2022-03-23T16:45:55Z,4,0
Dani Hermawan,"Siiip,, vob ( Marsya Widi Siti )please Vidio album Lagu what's the holy (Nobel)  di keluarkan, di share,,  trim,,, cos bagus bgt,,",2022-03-23T15:52:11Z,3,0
Sely Rudy1933,Garut memang intan,2022-03-23T15:40:52Z,3,0
deng tompo,Memalukan,2022-03-23T08:12:39Z,1,6
Nasir Sit,Terimakasih sudah bangunkan kembali jiwa metal Indonesia 🤟,2022-03-23T07:27:36Z,4,0
Desainisme,"@Deny Raffy mantap. ga ada tandingannya  kalo bisa gabung sih mantap, soalnya biar ada lead nya.. jadi ada solo gitarnya juga.. barusan liat di yt Stevie T dikasih solo bagus juga",2022-03-23T03:27:59Z,1,
Deny Raffy mantap. ga ada tandingannya ,"Insyallah akan ada waktunya buat collab, cuma utk saat ini mungkin VOB fokus dulu buat mempersiapkan tour eropa lagi jilid 2 ... Bulan Juli 27-28 ,2022 mau main di Manchester Inggris 🇬🇧, next in ostrava  ceko,next again di wacken open air jerman  🇩🇪,Entah klo udah beres mah. Kita doakan sama2. Dan juga mg meliany bisa jadi bagian dari personael VOB ngab",2022-03-23T03:10:06Z,0,
amatiran,"Solo melody, double padle, noise bass....... Bestlah",2022-03-23T00:46:00Z,6,0
Agus Supriadi,Makin keren 👍👍👍,2022-03-23T00:03:09Z,5,0
Wawan Gunawan,"VOB, mantapppp..... 👍👍👍👍💪💪💪❤️❤️❤️❤️👌👌👌👌",2022-03-22T23:20:34Z,5,0
Nari Yeh,"terus berkarya Neng Neng Geulis, baladceprot Tangerang hadir",2022-03-22T17:44:11Z,6,0
the last man,Yes good visual semangat ya Neng geura gebrak belahan dunia barat,2022-03-22T17:30:48Z,7,0
Adri Sultan,"Makin kesini makin keci musik nya, goodluck vob!!",2022-03-22T16:28:33Z,8,0
Belajar LaTeX,"Semakin keren, semakin nikmat!",2022-03-22T14:50:06Z,6,0
Dijaya,Mudah2an sebulan satu kali ngeluarin single album ....terus berkarya dan sehat selalu VOB,2022-03-22T06:14:31Z,4,0
Ichsan Mahfud,Go International,2022-03-22T05:36:32Z,4,0
Syachril Hasjim,Musiknya lebih matang... Mantap...,2022-03-22T04:54:41Z,4,0
Haris Efendi,wooow   smart girls on fire,2022-03-22T04:03:39Z,4,0
BS bagoes Satrio,"Ini kurang cocok disebut genre rock lebih cocok disebut band metal seperti KOBE, POWER METAL kalo di Indonesia🤘",2022-03-22T03:54:03Z,3,4
Fajar K. Natanael,"Joss, semakin rapi dan matang .. 

Selamat/sukses",2022-03-22T01:23:15Z,6,0
BOS SIWAY NEW,"Di dangdut ada lesti kejora...
Di metal ada VOB... sering2 kolab sama metal local kek deadsquad dll..",2022-03-21T22:32:08Z,5,0
sontana iie,"gak usah dengerin haters,,tetap berkarya,,contohnya dijepang,,band rock perempuan tuh bejibun,,kalian keren,,👍👍👍👍👍👍👍👍👍",2022-03-21T12:03:23Z,13,0
Ade Nuryana,"Ga bosan denger lagu ini,, tiap hari puter terus",2022-03-21T09:10:33Z,7,1
Fauzi Azis,haram,2022-03-21T12:51:07Z,0,
Aditya Nopriadi,VOB makin banyak perkembangannya. Terus berkarya !,2022-03-21T04:51:32Z,5,0
helo my gacha,Semoga konsisten mengeluarkan lagu2 berkualitas dan bermakna positip,2022-03-21T04:41:45Z,6,0
Rian Adi Saputra,Sempurma😂 basssnya garang😭,2022-03-21T01:44:40Z,6,0
sfull83,"Rock the world girls, 🤟",2022-03-21T01:29:39Z,5,0
Lim Faqot,🇲🇨🇲🇨🇲🇨🤘🤘🤘,2022-03-20T22:41:30Z,4,0
Doppies Mulya,"Anak Tiktoker Minggir Dulu,gw mau dengerin musik Rock dari Grup Band VOB 🤟",2022-03-20T21:00:28Z,8,0
Hans Guslamen,"VOB...wow kalian luar biasa Girls, keep rock dan tetap teriakan pesan-pesan moral di setiap lirikmu..tetaplah membumi dan sukses terus untuk karir musiknya...go girls👍👍👍👏👏💪🏼💪🏼",2022-03-20T17:48:14Z,14,1
hasan gozali,"jauh lebih ok dari yang single pertama. jauh lebih ok mulai dari musik, lirik dan rhyming pokalisnya",2022-03-20T10:30:06Z,4,0
Muhammad Fathur Rohman,Ndak cocok untuk anak jaman sekarang 😂😂😂😂,2022-03-20T03:37:24Z,3,5
ainkmedia top,"Wowwww, aku menontonya berulang2, rasanya ada kekuatan musik 90an ... kerennnn
dan aku menghormati wanita ... 🤟",2022-03-19T20:38:11Z,6,0
Sam Samsudin,Kereeen,2022-03-19T19:30:16Z,3,0
Yudi Sastra,"VOB emang beda
Punya karakter sendiri keren pokonamah,salam ti Garut",2022-03-19T18:25:01Z,6,0
Azna Zoehdi,"Suka dan baru tahu VOB pas awal pandemi di 2020. Gara-gara sering mutar lagu-lagu Band Maid, tiba-tiba muncul di beranda deh VOB dengan single School Revolution nya. Duh, dari situ jadi ketagihan dah dengerin musik nya VOB, ya Allah. Sukses lah buat mojang-mojang VOB, semoga lancar show di UK & WOA nanti. Salam dari perantauan asal Tasik. 🤘🎸🥁🎸🤘",2022-03-19T18:04:05Z,3,0
Rian j,Sumpah!! ini keren bnget,2022-03-19T16:33:03Z,4,0
R. Sumardiyono,"Jujur saya bukan penggemar musik rock metal, tapi entah knapa semenjak hadirnya personil group band cadas  asal Garut, Jawa Barat lewat VOB (Voice of Baceprot) yg digawangi  Neng Marsya, Neng Widi dan Neng Siti... ada apa dg aku kok mulai suka dg musik rock metal. dari Jogja Tetap istimewa, aku sbg fans baru VOB selalu suport dan berdo'a smoga Allah SWT mendengarkan niat baik dan positif dari kiprahnya lewat jalur musik rock metal, yakinlah Allah Maha Tahu, Maha Pengasih dan Penyayang utk umat Nya.",2022-03-19T16:04:01Z,14,0
blackblue,Keren-keren salam ti banjarwangi neng,2022-03-19T15:55:32Z,4,0
Adien Tyas Putra Adji,Endingnya kek babymetal . Cadas cute jadi satu . Sukses terus VOB 🤘🤘🤘🍻🍻,2022-03-19T15:30:17Z,5,0
yudha kusumah,Kekuatan org2 dalemnya keren2 njirrr.. Org2 punya nama semua di lagu ini..edan... Salam ti Cilawu Garut kanggo nyai2 geulis.. Love you VoB 😍,2022-03-19T06:43:06Z,18,0
thohir _emteha,Satu kata untuk VoB AMAZING,2022-03-19T02:40:41Z,4,0
Jeni sujana,"Yg JD heran saya mah,ko yg komen orang indo kebanyakan laki2 padahal ini,lagu2 VOB memperjuangkan kaum hawa dlm kesertaan gender
Apakah kaum hawa gak merasa terwakilkan ma VOB,,sungguh miris,,gue aja sebagai laki2 sangat bangga & mengafresiasi grup band VOB,,ya itung2 mewakili anak,istri&ibu gue yg sama perempuan juga",2022-03-18T17:51:38Z,10,4
